# t tipo  wx wy wz  drone_x drone_y drone_z  yaw_deg range_m
3.65 green -20.801 -2.374 0.000 -22.890 -0.221 0.405 -23.8 NA
4.67 green -20.594 -2.773 0.000 -22.670 -0.607 0.849 -60.8 NA
5.70 green -20.267 -3.175 0.000 -22.348 -1.014 1.323 -54.6 NA
6.72 green -19.885 -3.592 0.000 -21.991 -1.456 1.790 -42.6 NA
7.74 green -19.504 -4.057 0.000 -21.617 -1.927 2.037 -42.2 NA
8.77 green -19.115 -4.542 0.000 -21.227 -2.412 2.078 -45.6 NA
9.79 green -18.706 -5.025 0.000 -20.822 -2.898 2.055 -46.2 NA
10.82 green -18.287 -5.507 0.000 -20.408 -3.386 2.026 -45.1 NA
11.84 green -17.861 -5.988 0.000 -19.991 -3.875 2.007 -44.6 NA
12.86 green -17.435 -6.474 0.000 -19.570 -4.366 2.000 -44.7 NA
